NAME HCon151

MAXTIME 390
DAYS 5

FLEET SIZE 10
VEHICLE TYPES 6
TYPE1 3 250 250 1.8 1
TYPE2 2 200 200 1.7 1
TYPE3 2 140 140 1.4 1
TYPE4 1 120 120 1.6 1
TYPE5 1 100 100 1.5 1
TYPE6 1 80 80 1.2 1

CUSTOMERS 151

DEPOT 0 0

CUSTOMERCOORDINATES  
2 17 10 
14 14 10 
17 29 10 
-15 -9 10 
5 -5 10 
-14 12 10 
-18 28 10 
-4 27 10 
17 -2 10 
16 -14 10 
7 6 10 
-4 -3 10 
-30 -10 10 
-23 7 10 
1 -19 10 
17 6 10 
-8 -12 10 
-18 -2 10 
-22 -22 10 
22 23 10 
27 7 10 
7 22 10 
-19 22 10 
-27 17 10 
-28 3 10 
-8 33 10 
-5 13 10 
8 32 10 
23 13 10 
23 -8 10 
2 34 10 
3 11 10 
11 -25 10 
26 -2 10 
27 28 10 
28 34 10 
-3 -13 10 
10 0 10 
24 -20 10 
-30 -29 10 
-25 -18 10 
-14 -25 10 
-30 29 10 
-5 -20 10 
4 -25 10 
-3 4 10 
-10 -3 10 
-10 20 10 
13 -7 10 
21 2 10 
6 14 10 
0 -18 10 
20 10 10 
20 -15 10 
-20 -5 10 
-10 -5 10 
-15 15 10 
-25 8 10 
20 25 10 
-5 25 10 
-15 30 10 
15 0 10 
-5 -10 10 
-20 -25 10 
-5 -30 10 
-25 -15 10 
-30 -5 10 
-15 5 10 
-20 25 10 
10 30 10 
10 -15 10 
10 -25 10 
20 -30 10 
30 0 10 
30 -15 10 
10 -5 10 
0 5 10 
6 2 10 
29 7 10 
5 25 10 
-4 17 10 
0 34 10 
18 17 10 
30 20 10 
28 30 10 
-33 25 10 
-15 -15 10 
-30 -30 10 
25 -23 10 
5 -10 10 
7 -28 10 
-11 -23 10 
-12 -32 10 
-24 -21 10 
-29 3 10 
-33 13 10 
-27 21 10 
-22 17 10 
-29 33 10 
12 12 10 
14 23 10 
-8 8 10 
2 -4 10 
22 -6 10 
28 -12 10 
18 -23 10 
-3 -23 10 
1 -9 10 
-14 -11 10 
-18 -1 10 
-23 -11 10 
-11 23 10 
-8 34 10 
-20 42 10 
27 42 10 
14 38 10 
32 -30 10 
21 4 10 
2 12 10 
2 21 10 
22 33 10 
12 -19 10 
9 -18 10 
11 -22 10 
14 -24 10 
14 7 10 
18 8 10 
26 17 10 
22 13 10 
21 2 10 
20 19 10 
-20 12 10 
-21 2 10 
-24 -4 10 
-19 -13 10 
-31 -17 10 
-7 -17 10 
-9 17 10 
-9 0 10 
-4 32 10 
-20 -16 10 
-13 -13 10 
-17 -11 10 
-9 -8 10 
-10 -11 10 
-13 -8 10 
-10 -14 10 
-16 -14 10 
