NAME HCon200

MAXTIME 340
DAYS 5

FLEET SIZE 11
VEHICLE TYPES 5
TYPE1 3 280 280 1.8 1
TYPE2 2 250 250 1.7 1
TYPE3 2 200 200 1.4 1
TYPE4 2 180 180 1.6 1
TYPE5 2 150 130 1.2 1

CUSTOMERS 200

DEPOT 0 0

CUSTOMERCOORDINATES 
-13 -13 0 
1 -9 0 
-14 10 0 
10 0 0 
20 -15 0 
-2 -1 0 
15 15 0 
20 10 0 
-9 24 0 
5 31 0 
20 30 0 
0 16 0 
27 0 0 
27 22 0 
27 -11 0 
-14 1 0 
-2 9 0 
-26 21 0 
27 13 0 
31 -21 0 
9 -22 0 
-9 -22 0 
-24 -7 0 
-28 8 0 
-18 29 0 
6 11 0 
20 -1 0 
0 -19 0 
17 -9 0 
8 -9 0 
-4 41 0 
-13 18 0 
-9 -6 0 
15 5 0 
20 15 0 
19 -25 0 
25 -20 0 
12 31 0 
-5 25 0 
-5 15 0 
-23 -18 0 
-20 -21 0 
-19 -16 0 
-14 13 0 
15 -5 0 
16 7 0 
15 -20 0 
13 -14 0 
-23 3 0 
2 17 0 
14 14 0 
17 29 0 
-15 -9 0 
5 -5 0 
-14 12 0 
-18 28 0 
-4 27 0 
17 -2 0 
16 -14 0 
7 6 0 
-4 -3 0 
-30 -10 0 
-23 7 0 
1 -19 0 
17 6 0 
-8 -12 0 
-18 -2 0 
-22 -22 0 
22 23 0 
27 7 0 
7 22 0 
-19 22 0 
-27 17 0 
-28 3 0 
-8 33 0 
-5 13 0 
8 32 0 
23 13 0 
23 -8 0 
2 34 0 
3 11 0 
11 -25 0 
26 -2 0 
27 28 0 
28 34 0 
-3 -13 0 
10 0 0 
24 -20 0 
-30 -29 0 
-25 -18 0 
-14 -25 0 
-30 29 0 
-5 -20 0 
4 -25 0 
-3 4 0 
-10 -3 0 
-10 20 0 
13 -7 0 
21 2 0 
6 14 0 
0 -18 0 
20 10 0 
20 -15 0 
-20 -5 0 
-10 -5 0 
-15 15 0 
-25 8 0 
20 25 0 
-5 25 0 
-15 30 0 
15 0 0 
-5 -10 0 
-20 -25 0 
-5 -30 0 
-25 -15 0 
-30 -5 0 
-15 5 0 
-20 25 0 
10 30 0 
10 -15 0 
10 -25 0 
20 -30 0 
30 0 0 
30 -15 0 
10 -5 0 
0 5 0 
6 2 0 
29 7 0 
5 25 0 
-4 17 0 
0 34 0 
18 17 0 
30 20 0 
28 30 0 
-33 25 0 
-15 -15 0 
-30 -30 0 
25 -23 0 
5 -10 0 
7 -28 0 
-11 -23 0 
-12 -32 0 
-24 -21 0 
-29 3 0 
-33 13 0 
-27 21 0 
-22 17 0 
-29 33 0 
12 12 0 
14 23 0 
-8 8 0 
2 -4 0 
22 -6 0 
28 -12 0 
18 -23 0 
-3 -23 0 
1 -9 0 
-14 -11 0 
-18 -1 0 
-23 -11 0 
-11 23 0 
-8 34 0 
-20 42 0 
27 42 0 
14 38 0 
32 -30 0 
21 4 0 
2 12 0 
2 21 0 
22 33 0 
12 -19 0 
9 -18 0 
11 -22 0 
14 -24 0 
14 7 0 
18 8 0 
26 17 0 
22 13 0 
21 2 0 
20 19 0 
-20 12 0 
-21 2 0 
-24 -4 0 
-19 -13 0 
-31 -17 0 
-7 -17 0 
-9 17 0 
-9 0 0 
-4 32 0 
-20 -16 0 
-13 -13 0 
-17 -11 0 
-9 -8 0 
-10 -11 0 
-13 -8 0 
-10 -14 0 
-16 -14 0 
-15 -9 0 
-17 -17 0 

CUSTOMERDEMANDS
1 18 0 18 0 18
2 26 26 26 26 26
3 0 0 0 11 0
4 0 30 0 0 0
5 21 21 21 21 21
6 19 19 0 19 19
7 15 15 15 15 15
8 0 0 0 0 16
9 29 0 29 29 0
10 26 0 26 26 26
11 37 0 37 37 37
12 0 0 16 16 16
13 12 12 12 0 0
14 0 31 31 31 31
15 8 8 8 8 8
16 0 19 19 19 19
17 0 0 20 20 20
18 0 13 0 0 0
19 15 0 15 15 15
20 22 22 22 22 22
21 28 0 0 28 0
22 12 0 12 12 0
23 0 6 6 6 0
24 27 0 0 0 0
25 0 0 14 0 0
26 18 18 18 18 0
27 17 0 0 17 17
28 29 0 0 29 29
29 13 0 13 0 0
30 22 0 22 22 0
31 0 0 0 25 0
32 0 10 0 0 0
33 27 0 27 27 27
34 19 19 0 19 19
35 0 10 10 0 10
36 12 12 0 12 0
37 14 0 0 0 0
38 0 0 0 0 24
39 0 16 16 0 16
40 0 0 0 33 0
41 15 15 0 0 15
42 0 11 11 11 11
43 18 18 18 18 18
44 17 0 17 17 17
45 21 21 0 21 21
46 0 27 0 0 0
47 19 19 19 0 0
48 0 20 20 0 20
49 5 5 0 0 5
50 7 0 0 0 0
51 30 30 30 30 0
52 16 16 16 16 16
53 9 0 9 9 9
54 0 21 21 21 21
55 0 0 15 0 0
56 0 19 0 19 19
57 23 23 23 0 23
58 0 0 11 11 11
59 0 0 0 5 5
60 19 19 0 19 0
61 29 29 29 0 29
62 0 23 0 0 0
63 21 21 21 21 0
64 10 0 0 0 10
65 0 15 15 0 0
66 3 0 0 0 0
67 0 0 41 0 0
68 9 9 9 9 9
69 28 28 28 28 28
70 8 0 8 0 0
71 8 0 8 8 0
72 0 16 16 16 16
73 0 10 10 0 10
74 0 28 0 0 0
75 0 0 0 7 0
76 15 15 15 15 15
77 0 14 14 14 14
78 6 0 6 0 6
79 19 19 19 19 19
80 11 11 11 11 11
81 12 0 0 12 12
82 23 0 0 0 0
83 0 0 0 26 0
84 17 17 0 17 0
85 6 0 0 6 6
86 0 0 9 9 9
87 0 0 15 0 0
88 14 14 14 14 0
89 7 7 7 7 7
90 0 0 27 27 27
91 13 0 13 0 13
92 11 0 11 11 11
93 0 16 16 16 16
94 0 10 0 0 0
95 5 5 5 5 5
96 25 25 25 25 25
97 0 0 17 17 0
98 18 18 18 18 18
99 0 10 10 10 10
100 10 10 10 10 0
101 7 7 7 7 0
102 0 0 0 13 0
103 0 0 0 0 19
104 0 26 0 0 0
105 3 3 3 3 3
106 0 0 0 0 5
107 9 9 9 9 0
108 16 16 0 16 0
109 0 16 0 0 0
110 0 12 12 12 12
111 19 19 19 19 19
112 23 23 0 23 23
113 20 20 0 0 20
114 8 0 8 8 8
115 19 19 19 19 19
116 0 2 0 0 2
117 12 0 12 12 0
118 0 0 17 17 17
119 9 9 0 9 0
120 11 0 0 0 0
121 18 18 0 18 18
122 29 0 0 0 0
123 3 3 0 3 3
124 6 6 6 6 0
125 17 0 17 17 17
126 16 16 16 0 0
127 16 16 16 16 0
128 0 9 9 0 0
129 0 0 0 21 21
130 0 27 27 0 27
131 0 0 23 0 0
132 11 11 11 11 11
133 0 14 0 0 0
134 8 8 8 8 0
135 0 5 0 0 0
136 0 0 0 8 0
137 16 16 16 16 16
138 0 31 31 31 31
139 0 0 0 9 0
140 0 0 5 0 0
141 5 5 0 5 5
142 7 0 7 7 7
143 18 18 0 18 18
144 0 0 0 16 0
145 1 1 1 0 0
146 27 27 0 0 27
147 36 36 36 36 36
148 30 30 30 30 30
149 13 13 13 0 13
150 10 0 0 0 0
151 9 9 9 9 9
152 0 14 0 14 14
153 18 18 18 18 18
154 2 0 2 2 0
155 6 6 0 6 6
156 0 7 0 0 0
157 0 0 18 0 0
158 28 28 28 28 0
159 0 3 0 3 3
160 13 13 13 13 13
161 0 19 19 19 19
162 10 10 0 10 10
163 9 9 9 9 9
164 0 0 20 0 0
165 25 25 25 25 0
166 25 25 25 25 0
167 36 36 0 36 36
168 0 6 0 0 0
169 0 5 0 0 5
170 15 15 0 0 15
171 25 25 25 0 25
172 9 0 0 0 0
173 8 8 0 0 8
174 18 0 18 18 0
175 13 13 0 13 13
176 14 14 14 14 14
177 3 3 3 0 3
178 0 23 23 23 0
179 0 6 6 0 0
180 0 0 0 26 26
181 0 16 0 0 0
182 11 11 0 0 11
183 7 7 7 7 7
184 41 0 41 0 0
185 0 0 0 0 35
186 0 26 0 26 0
187 9 0 9 9 9
188 15 0 15 15 15
189 0 3 0 0 0
190 0 1 1 1 1
191 2 0 0 2 2
192 22 22 22 22 22
193 0 27 0 27 27
194 0 0 0 20 0
195 0 11 11 11 11
196 12 0 0 0 0
197 10 0 0 0 0
198 0 9 0 0 0
199 17 17 0 0 17

COMPATIBILITY RESTRICTIONS 
1 1 1 1 1 1 1 1 1 1 1 1
2 0 0 0 0 0 0 0 1 1 1 1
3 1 1 1 1 1 1 1 1 1 1 1
4 0 0 0 0 0 0 0 1 1 1 1
5 1 1 1 1 1 1 1 1 1 1 1
6 0 0 0 0 0 0 0 1 1 1 1
7 1 1 1 1 1 1 1 1 1 1 1
8 1 1 1 1 1 1 1 1 1 1 1
9 1 1 1 0 0 0 0 0 0 0 0
10 1 1 1 1 1 1 1 1 1 1 1
11 1 1 1 0 0 0 0 0 0 0 0
12 1 1 1 1 1 1 1 1 1 1 1
13 1 1 1 1 1 1 1 1 1 1 1
14 1 1 1 0 0 0 0 0 0 0 0
15 1 1 1 1 1 1 1 1 1 1 1
16 1 1 1 1 1 1 1 1 1 1 1
17 0 0 0 0 0 0 0 1 1 1 1
18 1 1 1 1 1 1 1 1 1 1 1
19 1 1 1 1 1 1 1 1 1 1 1
20 1 1 1 1 1 1 1 1 1 1 1
21 1 1 1 0 0 0 0 0 0 0 0
22 1 1 1 1 1 1 1 1 1 1 1
23 1 1 1 1 1 1 1 1 1 1 1
24 1 1 1 0 0 0 0 0 0 0 0
25 1 1 1 1 1 1 1 1 1 1 1
26 0 0 0 0 0 0 0 1 1 1 1
27 1 1 1 1 1 1 1 1 1 1 1
28 1 1 1 0 0 0 0 0 0 0 0
29 1 1 1 1 1 1 1 1 1 1 1
30 0 0 0 0 0 0 0 1 1 1 1
31 1 1 1 1 1 1 1 1 1 1 1
32 1 1 1 1 1 1 1 1 1 1 1
33 0 0 0 0 0 0 0 1 1 1 1
34 1 1 1 1 1 1 1 1 1 1 1
35 1 1 1 1 1 1 1 1 1 1 1
36 1 1 1 1 1 1 1 1 1 1 1
37 1 1 1 1 1 1 1 1 1 1 1
38 1 1 1 1 1 1 1 1 1 1 1
39 1 1 1 1 1 1 1 1 1 1 1
40 1 1 1 0 0 0 0 0 0 0 0
41 1 1 1 1 1 1 1 1 1 1 1
42 1 1 1 1 1 1 1 1 1 1 1
43 1 1 1 1 1 1 1 1 1 1 1
44 1 1 1 1 1 1 1 1 1 1 1
45 1 1 1 1 1 1 1 1 1 1 1
46 1 1 1 0 0 0 0 0 0 0 0
47 1 1 1 1 1 1 1 1 1 1 1
48 1 1 1 1 1 1 1 1 1 1 1
49 1 1 1 1 1 1 1 1 1 1 1
50 1 1 1 1 1 1 1 1 1 1 1
51 1 1 1 0 0 0 0 0 0 0 0
52 1 1 1 1 1 1 1 1 1 1 1
53 1 1 1 1 1 1 1 1 1 1 1
54 0 0 0 0 0 0 0 1 1 1 1
55 1 1 1 1 1 1 1 1 1 1 1
56 1 1 1 1 1 1 1 1 1 1 1
57 1 1 1 1 1 1 1 1 1 1 1
58 1 1 1 1 1 1 1 1 1 1 1
59 1 1 1 1 1 1 1 1 1 1 1
60 0 0 0 0 0 0 0 1 1 1 1
61 0 0 0 0 0 0 0 1 1 1 1
62 1 1 1 1 1 1 1 1 1 1 1
63 1 1 1 1 1 1 1 1 1 1 1
64 1 1 1 1 1 1 1 1 1 1 1
65 1 1 1 1 1 1 1 1 1 1 1
66 1 1 1 1 1 1 1 1 1 1 1
67 1 1 1 0 0 0 0 0 0 0 0
68 1 1 1 1 1 1 1 1 1 1 1
69 1 1 1 0 0 0 0 0 0 0 0
70 1 1 1 1 1 1 1 1 1 1 1
71 1 1 1 1 1 1 1 1 1 1 1
72 1 1 1 1 1 1 1 1 1 1 1
73 1 1 1 1 1 1 1 1 1 1 1
74 1 1 1 0 0 0 0 0 0 0 0
75 1 1 1 1 1 1 1 1 1 1 1
76 1 1 1 1 1 1 1 1 1 1 1
77 1 1 1 1 1 1 1 1 1 1 1
78 1 1 1 1 1 1 1 1 1 1 1
79 1 1 1 1 1 1 1 1 1 1 1
80 1 1 1 1 1 1 1 1 1 1 1
81 0 0 0 0 0 0 0 1 1 1 1
82 1 1 1 1 1 1 1 1 1 1 1
83 1 1 1 1 1 1 1 1 1 1 1
84 1 1 1 1 1 1 1 1 1 1 1
85 1 1 1 1 1 1 1 1 1 1 1
86 1 1 1 1 1 1 1 1 1 1 1
87 0 0 0 0 0 0 0 1 1 1 1
88 1 1 1 1 1 1 1 1 1 1 1
89 1 1 1 1 1 1 1 1 1 1 1
90 1 1 1 0 0 0 0 0 0 0 0
91 1 1 1 1 1 1 1 1 1 1 1
92 1 1 1 1 1 1 1 1 1 1 1
93 1 1 1 1 1 1 1 1 1 1 1
94 1 1 1 1 1 1 1 1 1 1 1
95 0 0 0 0 0 0 0 1 1 1 1
96 0 0 0 0 0 0 0 1 1 1 1
97 1 1 1 1 1 1 1 1 1 1 1
98 1 1 1 1 1 1 1 1 1 1 1
99 1 1 1 1 1 1 1 1 1 1 1
100 1 1 1 1 1 1 1 1 1 1 1
101 1 1 1 1 1 1 1 1 1 1 1
102 1 1 1 1 1 1 1 1 1 1 1
103 1 1 1 1 1 1 1 1 1 1 1
104 1 1 1 1 1 1 1 1 1 1 1
105 0 0 0 0 0 0 0 1 1 1 1
106 1 1 1 1 1 1 1 1 1 1 1
107 1 1 1 1 1 1 1 1 1 1 1
108 1 1 1 1 1 1 1 1 1 1 1
109 1 1 1 1 1 1 1 1 1 1 1
110 1 1 1 1 1 1 1 1 1 1 1
111 1 1 1 1 1 1 1 1 1 1 1
112 0 0 0 0 0 0 0 1 1 1 1
113 1 1 1 1 1 1 1 1 1 1 1
114 1 1 1 1 1 1 1 1 1 1 1
115 1 1 1 1 1 1 1 1 1 1 1
116 1 1 1 1 1 1 1 1 1 1 1
117 1 1 1 1 1 1 1 1 1 1 1
118 1 1 1 1 1 1 1 1 1 1 1
119 1 1 1 1 1 1 1 1 1 1 1
120 1 1 1 1 1 1 1 1 1 1 1
121 1 1 1 1 1 1 1 1 1 1 1
122 1 1 1 0 0 0 0 0 0 0 0
123 1 1 1 1 1 1 1 1 1 1 1
124 1 1 1 1 1 1 1 1 1 1 1
125 0 0 0 0 0 0 0 1 1 1 1
126 0 0 0 0 0 0 0 1 1 1 1
127 0 0 0 0 0 0 0 1 1 1 1
128 1 1 1 1 1 1 1 1 1 1 1
129 1 1 1 1 1 1 1 1 1 1 1
130 1 1 1 0 0 0 0 0 0 0 0
131 1 1 1 1 1 1 1 1 1 1 1
132 1 1 1 1 1 1 1 1 1 1 1
133 1 1 1 1 1 1 1 1 1 1 1
134 1 1 1 1 1 1 1 1 1 1 1
135 1 1 1 1 1 1 1 1 1 1 1
136 1 1 1 1 1 1 1 1 1 1 1
137 1 1 1 1 1 1 1 1 1 1 1
138 1 1 1 0 0 0 0 0 0 0 0
139 0 0 0 0 0 0 0 1 1 1 1
